,Unnamed: 0.1,Unnamed: 0,Product_Desc,First_part,Type,Type_2
76,96,96,ABSOLUT WOMAN CAPSULES 10,ABSOLUTWOMAN,STRIP OF 10 CAPSULES, STRIP OF 10 CAPSULES
77,97,97,ABSOLUT WOMAN CAPSULES 10^S,ABSOLUTWOMAN,STRIP OF 10 CAPSULES, STRIP OF 10 CAPSULES
78,91,91,ABSOLUT DM CAPSULES        <3X10> 10^S,ABSOLUTDM,CAPSULES        <3X10> STRIP OF 10, STRIP OF 10 CAPSULES
79,92,92,ABSOLUT DM INJECTION. 1ML/IV,ABSOLUTDM,INJECTION. 1ML/IV, STRIP OF 10 CAPSULES
80,117,117,ACAMPROL TABLETS 6^S,ACAMPROL,TABLETS STRIP OF 6, STRIP OF 6 TABLETS
81,119,119,ACAMPTAS 333 TABLETS 6^S,ACAMPTAS333,TABLETS STRIP OF 6, STRIP OF 6 TABLETS
82,125,125,ACCARE GEL 15GM,ACCARE,GEL 15GM, TUBE OF 15 GM GEL
83,126,126,ACCARE SOAP 75GM,ACCARE,SOAP 75GM, TUBE OF 15 GM GEL
84,127,127,ACCEMOL TABLETS 10^S,ACCEMOL,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
85,165,165,ACE REVELOL 25/2.5 TABLETS 10^S,ACEREVELOL25/2.5,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
86,166,166,ACE REVELOL 25/5 TABLETS 10^S,ACEREVELOL25/5,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
87,166,166,ACE REVELOL 25/5 TABLETS 10^S,ACEREVELOL25/5,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
88,167,167,ACE REVELOL 50/5 TABLETS 10^S,ACEREVELOL50/5,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
89,172,172,ACECLO MR  TABLETS 10^S,ACECLOMR,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
90,173,173,ACECLO PLUS TABLETS 15^S,ACECLOPLUS,STRIP OF 15 TABLETS, STRIP OF 15 TABLETS
91,174,174,ACECLO SERA TABLETS 10^S,ACECLOSERA,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
92,175,175,ACECLO SPAS TABLETS 10^S,ACECLOSPAS,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
93,177,177,ACECLOREN TABLETS 10^S,ACECLOREN,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
94,178,178,ACECLOREN-P TABLETS 10^S,ACECLOREN-P,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
95,177,177,ACECLOREN TABLETS 10^S,ACECLOREN,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
96,178,178,ACECLOREN-P TABLETS 10^S,ACECLOREN-P,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
97,179,179,ACEGABA 100 CAPSULES 10^S,ACEGABA100,STRIP OF 10 CAPSULES, STRIP OF 10 TABLETS
98,180,180,ACEGABA NT 400 TABLETS 15^S,ACEGABANT400,STRIP OF 15 TABLETS, STRIP OF 15 TABLETS
99,184,184,ACE-GROW 3D SYRUP 100ML,ACE-GROW3D,SYRUP 100ML, STRIP OF 10 TABLETS
100,185,185,ACE-GROW 3D TABLETS 1*10,ACE-GROW3D,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
101,186,186,ACE-GROW 3D TABLETS 10^S.,ACE-GROW3D,STRIP OF 10 TABLETS., STRIP OF 10 TABLETS
102,195,195,ACEMIZ PLUS TABLETS 10S,ACEMIZPLUS,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
103,197,197,ACEMYOSET TABLETS 1*10,ACEMYOSET,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
104,197,197,ACEMYOSET TABLETS 1*10,ACEMYOSET,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
105,198,198,ACENAC MR 8 TABLETS 10^S,ACENACMR8,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
106,205,205,ACENAC SR TABLETS 10^S,ACENACSR,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
107,199,199,ACENAC MR TABLETS 1*10,ACENACMR,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
108,200,200,ACENAC MR TABLETS 10^S,ACENACMR,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
109,202,202,ACENAC P TABLETS 10^S,ACENACP,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
110,203,203,ACENAC P TABLETS 15^S,ACENACP,STRIP OF 15 TABLETS, STRIP OF 10 TABLETS
111,202,202,ACENAC P TABLETS 10^S,ACENACP,STRIP OF 10 TABLETS, STRIP OF 15 TABLETS
112,203,203,ACENAC P TABLETS 15^S,ACENACP,STRIP OF 15 TABLETS, STRIP OF 15 TABLETS
113,204,204,ACENAC SP TABLETS 10^S,ACENACSP,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
114,213,213,ACENOMAC 1 TABLETS 10^S,ACENOMAC1,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
115,214,214,ACENOMAC 2 TABLETS 10^S,ACENOMAC2,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
116,216,216,ACENOMAC 4 TABLETS 10^S,ACENOMAC4,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
117,162,162,ACE PROXYVON TABLETS 10^S,ACEPROXYVON,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
118,163,163,ACE PROXYVON TABLETS 10S,ACEPROXYVON,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
119,162,162,ACE PROXYVON TABLETS 10^S,ACEPROXYVON,STRIP OF 10 TABLETS, TUBE OF 30G GEL
120,163,163,ACE PROXYVON TABLETS 10S,ACEPROXYVON,STRIP OF 10 TABLETS, TUBE OF 30G GEL
121,221,221,ACERA 20 CAPSULES 10^S,ACERA20,STRIP OF 10 CAPSULES, STRIP OF 10 CAPSULES
122,222,222,ACERA D CAPSULES 10^S,ACERAD,STRIP OF 10 CAPSULES, STRIP OF 10 CAPSULES
123,223,223,ACERA-D CAPSULES 10^S,ACERA-D,STRIP OF 10 CAPSULES, STRIP OF 10 CAPSULES
124,224,224,ACERA-L CAPSULES 10^S,ACERA-L,STRIP OF 10 CAPSULES, STRIP OF 10 CAPSULES
125,231,231,ACEROC-P TABLETS. 10^S,ACEROC-P,TABLETS. STRIP OF 10, STRIP OF 10 TABLETS
126,234,234,ACERON P TABLETS 10^S,ACERONP,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
127,232,232,ACERON MR 4 TABLETS 10^S,ACERONMR4,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
128,235,235,ACERON TC TABLETS 10^S,ACERONTC,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
129,243,243,ACIBAN DSR CAPSULES 10^S,ACIBANDSR,STRIP OF 10 CAPSULES, STRIP OF 10 TABLETS
130,250,250,ACILOC 150 TABLETS # 30T,ACILOC150,TABLETS # 30T, STRIP OF 30 TABLETS
131,251,251,ACILOC 150 TABLETS 30^S,ACILOC150,STRIP OF 30 TABLETS, STRIP OF 30 TABLETS
132,252,252,ACILOC 300 TABLETS 20C,ACILOC300,TABLETS 20C, STRIP OF 20 TABLETS
133,253,253,ACILOC 300 TABLETS 20^S,ACILOC300,TABLETS STRIP OF 20, STRIP OF 20 TABLETS
134,255,255,ACILOC ONLY SYRUP 100ML,ACILOCONLY,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
135,256,256,ACILOC RD 20 TABLETS 15^S,ACILOCRD20,STRIP OF 15 TABLETS, STRIP OF 10 TABLETS
136,257,257,ACILOC RD 20 TABLETS 15^S,ACILOCRD20,STRIP OF 15 TABLETS, STRIP OF 10 TABLETS
137,258,258,ACILOC RD 20 TABLETS 30^S,ACILOCRD20,STRIP OF 30 TABLETS, STRIP OF 10 TABLETS
138,256,256,ACILOC RD 20 TABLETS 15^S,ACILOCRD20,STRIP OF 15 TABLETS, STRIP OF 15 TABLETS
139,257,257,ACILOC RD 20 TABLETS 15^S,ACILOCRD20,STRIP OF 15 TABLETS, STRIP OF 15 TABLETS
140,258,258,ACILOC RD 20 TABLETS 30^S,ACILOCRD20,STRIP OF 30 TABLETS, STRIP OF 15 TABLETS
141,256,256,ACILOC RD 20 TABLETS 15^S,ACILOCRD20,STRIP OF 15 TABLETS, STRIP OF 30 TABLETS
142,257,257,ACILOC RD 20 TABLETS 15^S,ACILOCRD20,STRIP OF 15 TABLETS, STRIP OF 30 TABLETS
143,258,258,ACILOC RD 20 TABLETS 30^S,ACILOCRD20,STRIP OF 30 TABLETS, STRIP OF 30 TABLETS
144,373,373,ACNIL SOAP 75GM,ACNIL,SOAP 75GM, BOTTLE OF 120 ML SYRUP
145,373,373,ACNIL SOAP 75GM,ACNIL,SOAP 75GM, BOTTLE OF 170 ML LIQUID
146,373,373,ACNIL SOAP 75GM,ACNIL,SOAP 75GM,O SYRUP 200ML
147,263,263,ACITROM 0.5 TABLETS 10^S,ACITROM0.5,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
148,264,264,ACITROM 1 TABLETS# 30^S,ACITROM1,TABLETS# STRIP OF 30, STRIP OF 30 TABLETS
149,265,265,ACITROM 1 TABLETS $ 30^S,ACITROM1,TABLETS $ STRIP OF 30, STRIP OF 30 TABLETS
150,266,266,ACITROM 2 TABLETS 30^,ACITROM2,TABLETS 30^, STRIP OF 30 TABLETS
151,267,267,ACITROM 2 TABLETS 30^S,ACITROM2,STRIP OF 30 TABLETS, STRIP OF 30 TABLETS
152,268,268,ACITROM 3 TABLETS 30^S,ACITROM3,STRIP OF 30 TABLETS, STRIP OF 30 TABLETS
153,269,269,ACITROM 3 TABLETS $ 30^S,ACITROM3,TABLETS $ STRIP OF 30, STRIP OF 30 TABLETS
154,270,270,ACITROM 4 TABLETS 30^S,ACITROM4,STRIP OF 30 TABLETS, STRIP OF 30 TABLETS
155,271,271,ACITROM 4 TABLETS 30^S,ACITROM4,STRIP OF 30 TABLETS, STRIP OF 30 TABLETS
156,281,281,ACIVIR CREAM 10GM,ACIVIR,CREAM 10GM, TUBE OF 10 GM CREAM
157,282,282,ACIVIR CREAM 5GM,ACIVIR,CREAM 5GM, TUBE OF 10 GM CREAM
158,281,281,ACIVIR CREAM 10GM,ACIVIR,CREAM 10GM, TUBE OF 5 G CREAM
159,282,282,ACIVIR CREAM 5GM,ACIVIR,CREAM 5GM, TUBE OF 5 G CREAM
160,281,281,ACIVIR CREAM 10GM,ACIVIR,CREAM 10GM, TUBE OF 5 GM EYE OINTMENT
161,282,282,ACIVIR CREAM 5GM,ACIVIR,CREAM 5GM, TUBE OF 5 GM EYE OINTMENT
162,272,272,ACIVIR 200 DT TABLETS $ 10^S,ACIVIR200DT,TABLETS $ STRIP OF 10, STRIP OF 10 TABLETS
163,273,273,ACIVIR 200 DT TABLETS 10^S,ACIVIR200DT,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
164,274,274,ACIVIR 400 DT TABLETS # 5^S,ACIVIR400DT,TABLETS # STRIP OF 5, STRIP OF 5 TABLETS
165,275,275,ACIVIR 400 DT TABLETS# 5^S,ACIVIR400DT,TABLETS# STRIP OF 5, STRIP OF 5 TABLETS
166,276,276,ACIVIR 400 DT TABLETS 5^S,ACIVIR400DT,TABLETS STRIP OF 5, STRIP OF 5 TABLETS
167,278,278,ACIVIR 800 DT TABLETS # 10*10,ACIVIR800DT,TABLETS # 10*10, STRIP OF 5 TABLETS
168,279,279,ACIVIR 800 DT TABLETS# 5^S,ACIVIR800DT,TABLETS# STRIP OF 5, STRIP OF 5 TABLETS
169,280,280,ACIVIR 800 DT TABLETS 5^S,ACIVIR800DT,TABLETS STRIP OF 5, STRIP OF 5 TABLETS
170,286,286,ACLIND BP 2.5 GEL 15GM,ACLINDBP2.5,GEL 15GM, TUBE OF 15 GM GEL
171,287,287,ACLIND BP 5% GEL 15GM,ACLINDBP5%,GEL 15GM, TUBE OF 15 GM GEL
172,287,287,ACLIND BP 5% GEL 15GM,ACLINDBP5%,GEL 15GM, TUBE OF 15 GM GEL
173,306,306,ACNECAPSULES 10 SG CAPSULES 10^S,ACNE,STRIP OF 10 CAPSULES, TUBE OF 10 GM GEL
174,307,307,ACNECAPSULES 20 SG CAPSULES-30049029 10^S,ACNE,CAPSULES-30049029 STRIP OF 10, TUBE OF 10 GM GEL
175,308,308,ACNECAPSULES GEL 20GM,ACNE,CAPSULES GEL 20GM, TUBE OF 10 GM GEL
176,309,309,ACNECAPSULES-LB CAPSULES 10^S,ACNE,STRIP OF 10 CAPSULES, TUBE OF 10 GM GEL
177,313,313,ACNECHIO GEL FASE WASH 100ML,ACNECHIO,GEL FASE WASH 100ML, BOTTLE OF 100ML FACE WASH GEL
178,316,316,ACNECHIO-B TABLETS 1*30,ACNECHIO-B,TABLETS 1*30, BOTTLE OF 30 TABLETS
179,317,317,ACNECHIO-BP GEL 30GM,ACNECHIO-BP,GEL 30GM, BOTTLE OF 30 TABLETS
180,316,316,ACNECHIO-B TABLETS 1*30,ACNECHIO-B,TABLETS 1*30, BOTTLE OF 30 TABLETS
181,319,319,ACNECHIO-M TABLETS 30^S,ACNECHIO-M,STRIP OF 30 TABLETS, BOTTLE OF 30 TABLETS
182,315,315,ACNECHIO OD TABLETS 10^S,ACNECHIOOD,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
183,320,320,ACNEDAP GEL 15GM,ACNEDAP,GEL 15GM, TUBE OF 15 GM GEL
184,321,321,ACNEDAP GEL 5% 15GM,ACNEDAP,GEL 5% 15GM, TUBE OF 15 GM GEL
185,322,322,ACNEDAP PLUS GEL 5% 15GM,ACNEDAPPLUS,GEL 5% 15GM, TUBE OF 15 GM OF GEL
186,327,327,ACNELAK SOAP 75GM,ACNELAK,SOAP 75GM, PACK OF 75G SOAP
187,326,326,ACNELAK CLZ CREAM 15GM,ACNELAKCLZ,CREAM 15GM, TUBE OF 15 GM CREAM
188,331,331,ACNEMOIST CREAM # 1*60GM,ACNEMOIST,CREAM # 1*60GM,TUBE OF 60G CREAM
189,332,332,ACNEMOIST CREAM 60GM,ACNEMOIST,CREAM 60GM,TUBE OF 60G CREAM
190,343,343,ACNESCAR GEL 15GM,ACNESCAR,GEL 15GM, TUBE OF 15G GEL
191,346,346,ACNESOL GEL 20GM,ACNESOL,GEL 20GM, TUBE OF 20 GM GEL
192,345,345,ACNESOL CL GEL 15GM,ACNESOLCL,GEL 15GM, TUBE OF 15 GM GEL
193,344,344,ACNESOL A NANOGEL 15GM,ACNESOLANANO,GEL 15GM, TUBE OF 15 GM GEL
194,348,348,ACNESOL NC GEL 20GM,ACNESOLNC,GEL 20GM, TUBE OF 20 GM GEL
195,349,349,ACNESOL NC GEL 20GM.,ACNESOLNC,GEL 20GM., TUBE OF 20 GM GEL
196,351,351,ACNESTAR GEL 22GM,ACNESTAR,GEL 22GM, TUBE OF 15GM GEL
197,352,352,ACNESTAR GEL. 22GM,ACNESTAR,GEL. 22GM, TUBE OF 15GM GEL
198,353,353,ACNESTAR S SOAP 75GM,ACNESTARS,SOAP 75GM, TUBE OF 15GM GEL
199,354,354,ACNESTAR SOAP 75GM,ACNESTAR,SOAP 75GM, TUBE OF 15GM GEL
200,355,355,ACNESTAR SOAP. 75GM,ACNESTAR,SOAP. 75GM, TUBE OF 15GM GEL
201,351,351,ACNESTAR GEL 22GM,ACNESTAR,GEL 22GM, TUBE OF 22GM GEL
202,352,352,ACNESTAR GEL. 22GM,ACNESTAR,GEL. 22GM, TUBE OF 22GM GEL
203,353,353,ACNESTAR S SOAP 75GM,ACNESTARS,SOAP 75GM, TUBE OF 22GM GEL
204,354,354,ACNESTAR SOAP 75GM,ACNESTAR,SOAP 75GM, TUBE OF 22GM GEL
205,355,355,ACNESTAR SOAP. 75GM,ACNESTAR,SOAP. 75GM, TUBE OF 22GM GEL
206,358,358,ACNETHRO SOAP # 100GM,ACNETHRO,SOAP # 100GM, TUBE OF 20 GM GEL
207,359,359,ACNETHRO SOAP 100GM,ACNETHRO,SOAP 100GM, TUBE OF 20 GM GEL
208,360,360,ACNETHRO-C GEL # 20GM,ACNETHRO-C,GEL # 20GM, TUBE OF 20 GM GEL
209,361,361,ACNETHRO-C GEL 20GM,ACNETHRO-C,GEL 20GM, TUBE OF 20 GM GEL
210,306,306,ACNECAPSULES 10 SG CAPSULES 10^S,ACNE,STRIP OF 10 CAPSULES,ACNE
211,307,307,ACNECAPSULES 20 SG CAPSULES-30049029 10^S,ACNE,CAPSULES-30049029 STRIP OF 10,ACNE
212,308,308,ACNECAPSULES GEL 20GM,ACNE,CAPSULES GEL 20GM,ACNE
213,309,309,ACNECAPSULES-LB CAPSULES 10^S,ACNE,STRIP OF 10 CAPSULES,ACNE
214,363,363,ACNEWAR PLUS GEL 1*15,ACNEWARPLUS,GEL 1*15, TUBE OF 15 GM GEL
215,368,368,ACNICIN GEL 15GM,ACNICIN,GEL 15GM, TUBE OF 15 GM GEL
216,373,373,ACNIL SOAP 75GM,ACNIL,SOAP 75GM, PACK OF 75 G SOAP
217,378,378,ACNOVATE GEL 15GM,ACNOVATE,GEL 15GM, PACK OF 75 GM SYNDET BAR FOR OILY SKIN
218,1960,1960,ANOVATE CREAM 20GRM,ANOVATE,CREAM 20GRM, PACK OF 75 GM SYNDET BAR FOR OILY SKIN
219,378,378,ACNOVATE GEL 15GM,ACNOVATE,GEL 15GM, TUBE OF 15 GM GEL
220,1960,1960,ANOVATE CREAM 20GRM,ANOVATE,CREAM 20GRM, TUBE OF 15 GM GEL
221,381,381,ACOGUT TABLETS 15T,ACOGUT,STRIP OF 15 TABLETS, STRIP OF 15 TABLETS
222,385,385,ACOSAT TABLETS 15^S,ACOSAT,STRIP OF 15 TABLETS, STRIP OF 10 TABLETS
223,388,388,ACOTRUST 100 TABLETS 15^S,ACOTRUST100,STRIP OF 15 TABLETS, STRIP OF 10 TABLETS
224,389,389,ACOTRUST 100MG TABLETS 1*15,ACOTRUST100MG,TABLETS 1*15, STRIP OF 10 TABLETS
225,388,388,ACOTRUST 100 TABLETS 15^S,ACOTRUST100,STRIP OF 15 TABLETS, STRIP OF 10 TABLETS
